Date,Low,High,Adj Close,Volume
2019-04-01,47,48,47,111448000
2019-04-02,48,49,47,91062800
2019-04-03,48,49,48,93087200
2019-04-04,48,49,48,76457200
2019-04-05,49,49,48,74106400
2019-04-08,49,50,49,103526800
2019-04-09,50,51,49,143072800
2019-04-10,50,50,49,86781200
2019-04-11,50,50,48,83603200
2019-04-12,49,50,48,111042800
2019-04-15,50,50,48,70146400
2019-04-16,50,50,48,102785600
2019-04-17,50,51,49,115627200
2019-04-18,51,51,50,96783200
2019-04-22,51,51,50,77758000
2019-04-23,51,52,50,93292000
2019-04-24,52,52,50,70162400
2019-04-25,51,52,50,74172800
2019-04-26,51,51,50,74596400
2019-04-29,51,51,50,88818800
2019-04-30,50,51,49,186139600
