Date,Low,High,Adj Close,Volume
2019-12-02,66,67,65,94487200
2019-12-03,64,65,64,114430400
2019-12-04,65,66,64,67181600
2019-12-05,66,66,65,74424400
2019-12-06,67,68,67,106075600
2019-12-09,66,68,66,128042400
2019-12-10,66,68,66,90420400
2019-12-11,67,68,67,78756800
2019-12-12,67,68,67,137310400
2019-12-13,68,69,68,133587600
2019-12-16,69,70,69,128186000
2019-12-17,70,70,69,114158400
2019-12-18,70,70,69,116028400
2019-12-19,70,70,69,98369200
2019-12-20,70,71,69,275978000
2019-12-23,70,71,70,98572000
2019-12-24,71,71,70,48478800
2019-12-26,71,72,71,93121200
2019-12-27,72,73,71,146266000
2019-12-30,71,73,72,144114400
