Date,Low,High,Adj Close,Volume
2019-05-01,52.0,54.0,51.0,259309200
2019-05-02,52.0,53.0,51.0,127985200
2019-05-03,53.0,53.0,52.0,83569600
2019-05-06,51.0,52.0,51.0,129772400
2019-05-07,50.0,52.0,49.0,155054800
2019-05-08,50.0,51.0,49.0,105358000
2019-05-09,49.0,50.0,49.0,139634400
2019-05-10,48.0,50.0,48.0,164834800
2019-05-13,46.0,47.0,45.0,229722400
2019-05-14,46.0,47.0,46.0,146118800
2019-05-15,47.0,48.0,47.0,106178800
2019-05-16,47.0,48.0,46.0,132125600
2019-05-17,47.0,48.0,46.0,131516400
2019-05-20,45.0,46.0,45.0,154449200
2019-05-21,46.0,47.0,46.0,113459200
2019-05-22,46.0,46.0,45.0,118994400
2019-05-23,44.0,45.0,44.0,146118800
2019-05-24,45.0,46.0,44.0,94858800
2019-05-28,44.0,45.0,44.0,111792800
2019-05-29,44.0,45.0,43.0,113924800
2019-05-30,44.0,45.0,44.0,84873600
2019-05-31,44.0,44.0,43.0,108174400
