Date,Low,High,Adj Close,Volume
2019-11-01,62.0,64.0,63.0,151125200
2019-11-04,64.0,64.0,63.0,103272000
2019-11-05,64.0,65.0,63.0,79897600
2019-11-06,64.0,64.0,63.0,75864400
2019-11-07,65.0,65.0,64.0,94940400
2019-11-08,64.0,65.0,64.0,69986400
2019-11-11,65.0,66.0,64.0,81821200
2019-11-12,65.0,66.0,64.0,87388800
2019-11-13,65.0,66.0,65.0,102734400
2019-11-14,66.0,66.0,65.0,89182800
2019-11-15,66.0,66.0,65.0,100206400
2019-11-18,66.0,67.0,66.0,86703200
2019-11-19,66.0,67.0,65.0,76167200
2019-11-20,65.0,67.0,65.0,106234400
2019-11-21,65.0,66.0,64.0,121395200
2019-11-22,65.0,66.0,64.0,65325200
2019-11-25,66.0,67.0,65.0,84020400
2019-11-26,66.0,67.0,65.0,105207600
2019-11-27,66.0,67.0,66.0,65235600
2019-11-29,66.0,67.0,66.0,46617600
