Date,Low,High,Adj Close,Volume
2020-08-03,108,112,109,308151200
2020-08-04,108,111,109,173071600
2020-08-05,109,110,110,121992000
2020-08-06,110,114,114,202428800
2020-08-07,110,114,111,198045600
2020-08-10,110,114,113,212403600
2020-08-11,109,112,109,187902400
2020-08-12,110,113,113,165944800
2020-08-13,114,116,115,210082000
2020-08-14,113,115,115,165565200
2020-08-17,114,116,114,119561600
2020-08-18,114,116,115,105633600
2020-08-19,116,117,116,145538000
2020-08-20,116,118,118,126907200
2020-08-21,119,125,124,338054800
2020-08-24,124,129,126,345937600
2020-08-25,123,125,125,211495600
2020-08-26,125,127,126,163022400
2020-08-27,124,127,125,155552400
2020-08-28,125,126,125,187630000
2020-08-31,126,131,129,225702700
