Date,Low,High,Adj Close,Volume
2020-02-03,76,78,76,173985600
2020-02-04,78,80,78,136616400
2020-02-05,80,81,79,118826800
2020-02-06,80,81,80,105425600
2020-02-07,80,81,79,117684000
2020-02-10,78,80,79,109348800
2020-02-11,80,81,79,94323200
2020-02-12,80,82,81,113730400
2020-02-13,81,82,80,94747600
2020-02-14,81,81,80,80113600
2020-02-18,79,80,79,152531200
2020-02-19,80,81,80,93984000
2020-02-20,80,81,79,100566000
2020-02-21,78,80,77,129554000
2020-02-24,72,76,73,222195200
2020-02-25,72,76,71,230673600
2020-02-26,72,74,72,198054800
2020-02-27,68,72,67,320605600
2020-02-28,64,70,67,426884800
