Date,Low,High,Adj Close,Volume
2020-01-02,74,75,74,135480400
2020-01-03,74,75,73,146322800
2020-01-06,73,75,74,118387200
2020-01-07,74,75,73,108872000
2020-01-08,74,76,75,132079200
2020-01-09,77,78,76,170108400
2020-01-10,77,78,76,140644800
2020-01-13,78,79,78,121532000
2020-01-14,78,79,77,161954400
2020-01-15,77,79,77,121923600
2020-01-16,78,79,78,108829200
2020-01-17,79,80,78,137816400
2020-01-21,79,80,78,110843200
2020-01-22,79,80,78,101832400
2020-01-23,79,80,78,104472000
2020-01-24,79,81,78,146537600
2020-01-27,76,78,76,161940000
2020-01-28,78,80,78,162234000
2020-01-29,80,82,80,216229200
2020-01-30,80,81,80,126743200
2020-01-31,77,81,76,199588400
