Date,Low,High,Adj Close,Volume
2020-07-01,91,92,91,110737200
2020-07-02,91,93,91,114041600
2020-07-06,92,94,93,118655600
2020-07-07,93,95,93,112424400
2020-07-08,94,95,95,117092000
2020-07-09,95,96,95,125642800
2020-07-10,95,96,96,90257200
2020-07-13,95,100,95,191649200
2020-07-14,94,97,97,170989200
2020-07-15,96,99,97,153198000
2020-07-16,96,97,96,110577600
2020-07-17,96,97,96,92186800
2020-07-20,96,98,98,90318000
2020-07-21,97,99,97,103646000
2020-07-22,97,98,97,89001600
2020-07-23,92,97,93,197004400
2020-07-24,89,93,92,185438800
2020-07-27,93,95,94,121214000
2020-07-28,93,95,93,103625600
2020-07-29,94,95,95,90329200
2020-07-30,94,96,96,158130000
2020-07-31,101,106,106,374336800
