Date,Low,High,Adj Close,Volume
2020-06-01,79,81,80,20197800
2020-06-02,80,81,81,21910700
2020-06-03,81,82,81,26122800
2020-06-04,80,81,80,21890100
2020-06-05,81,83,83,34312600
2020-06-08,82,83,83,23913600
2020-06-09,83,86,86,36928100
2020-06-10,87,89,88,41662900
2020-06-11,84,88,84,50415600
2020-06-12,84,87,84,50001500
2020-06-15,83,86,85,34702200
2020-06-16,86,88,88,41276300
2020-06-17,88,89,88,114406400
2020-06-18,87,88,88,96820400
2020-06-19,86,89,87,264476000
2020-06-22,88,90,89,135445200
2020-06-23,91,93,91,212155600
2020-06-24,90,92,90,192623200
2020-06-25,89,91,91,137522400
2020-06-26,88,91,88,205256800
2020-06-29,88,91,90,130646000
2020-06-30,90,91,91,140223200
