Date,Low,High,Adj Close,Volume
2020-03-02,69,75,74,341397200
2020-03-03,71,76,71,319475600
2020-03-04,73,76,75,219178400
2020-03-05,73,75,72,187572800
2020-03-06,70,73,71,226176800
2020-03-09,66,70,66,286744800
2020-03-10,67,72,70,285290000
2020-03-11,68,70,68,255598800
2020-03-12,62,68,61,418474000
2020-03-13,63,70,69,370732000
2020-03-16,60,65,60,322423600
2020-03-17,60,64,62,324056000
2020-03-18,59,62,61,300233600
2020-03-19,61,63,60,271857200
2020-03-20,57,63,56,401693200
2020-03-23,53,57,55,336752800
2020-03-24,59,62,61,287531200
2020-03-25,61,65,61,303602000
2020-03-26,62,65,64,252087200
2020-03-27,62,64,61,204216800
2020-03-30,62,64,63,167976400
2020-03-31,63,66,63,197002000
