Date,Low,High,Adj Close,Volume
2020-10-01,116,118,117,116120400
2020-10-02,112,115,113,144712000
2020-10-05,114,117,116,106243800
2020-10-06,112,116,113,161498200
2020-10-07,114,116,115,96849000
2020-10-08,115,116,115,83477200
2020-10-09,115,117,117,100506900
2020-10-12,119,125,124,240226800
2020-10-13,120,125,121,262330500
2020-10-14,120,123,121,151062300
2020-10-15,118,121,121,112559200
2020-10-16,119,122,119,115393800
2020-10-19,116,120,116,120639300
2020-10-20,116,119,117,124423700
2020-10-21,116,119,117,89946000
2020-10-22,115,118,116,101988000
2020-10-23,114,117,115,82572600
2020-10-26,113,117,115,111850700
2020-10-27,115,117,116,92276800
2020-10-28,111,115,111,143937800
2020-10-29,112,117,115,146129200
2020-10-30,108,112,109,190272600
