Date,Low,High,Adj Close,Volume
2020-09-01,131,135,134,152470100
2020-09-02,127,138,131,200119000
2020-09-03,120,129,121,257599600
2020-09-04,111,124,121,332607200
2020-09-08,113,119,113,231366600
2020-09-09,115,119,117,176940500
2020-09-10,112,120,113,182274400
2020-09-11,110,115,112,180860300
2020-09-14,113,116,115,140150100
2020-09-15,114,119,115,184642000
2020-09-16,112,116,112,154679000
2020-09-17,109,112,110,178011000
2020-09-18,106,111,107,287104900
2020-09-21,103,110,110,195713800
2020-09-22,109,113,112,183055400
2020-09-23,107,112,107,150718700
2020-09-24,105,110,108,167743300
2020-09-25,108,112,112,149981400
2020-09-28,113,115,115,137672400
2020-09-29,114,115,114,99382200
2020-09-30,114,117,116,142675200
