Date,Low,High,Adj Close,Volume
2020-04-01,60,62,59,176218400
2020-04-02,59,61,60,165934000
2020-04-03,60,61,59,129880000
2020-04-06,62,66,65,201820400
2020-04-07,65,68,64,202887200
2020-04-08,65,67,66,168895200
2020-04-09,66,68,66,162116400
2020-04-13,66,68,67,131022800
2020-04-14,70,72,71,194994800
2020-04-15,70,72,70,131154400
2020-04-16,71,72,71,157125200
2020-04-17,69,72,70,215250000
2020-04-20,69,70,68,130015200
2020-04-21,66,69,66,180991600
2020-04-22,68,69,68,117057200
2020-04-23,69,70,68,124814400
2020-04-24,69,71,70,126508800
2020-04-27,70,71,70,117087600
2020-04-28,70,71,69,112004800
2020-04-29,71,72,71,137280800
2020-04-30,72,74,72,183064000
2020-05-01,71,75,71,60154200
2020-05-04,72,73,72,33392000
2020-05-05,74,75,73,36937800
2020-05-06,75,76,74,35583400
2020-05-07,75,76,75,28803800
2020-05-08,76,78,77,33512000
2020-05-11,77,79,78,36486600
2020-05-12,78,80,78,40575300
2020-05-13,76,79,77,50155600
2020-05-14,75,77,77,39732300
2020-05-15,75,77,77,41587100
2020-05-18,78,79,78,33843100
2020-05-19,78,80,78,25432400
2020-05-20,79,80,80,27876200
2020-05-21,79,80,79,25672200
2020-05-22,79,80,79,20450800
2020-05-26,79,81,79,31380500
2020-05-27,78,80,79,28236300
2020-05-28,79,81,79,33390200
2020-05-29,79,80,79,38399500
2020-06-01,79,81,80,20197800
2020-06-02,80,81,81,21910700
2020-06-03,81,82,81,26122800
2020-06-04,80,81,80,21890100
2020-06-05,81,83,83,34312600
2020-06-08,82,83,83,23913600
2020-06-09,83,86,86,36928100
2020-06-10,87,89,88,41662900
2020-06-11,84,88,84,50415600
2020-06-12,84,87,84,50001500
2020-06-15,83,86,85,34702200
2020-06-16,86,88,88,41276300
2020-06-17,88,89,88,114406400
2020-06-18,87,88,88,96820400
2020-06-19,86,89,87,264476000
2020-06-22,88,90,89,135445200
2020-06-23,91,93,91,212155600
2020-06-24,90,92,90,192623200
2020-06-25,89,91,91,137522400
2020-06-26,88,91,88,205256800
2020-06-29,88,91,90,130646000
2020-06-30,90,91,91,140223200
